"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.931579730E1,6.494425639E1,2.539266687E1,-1.514022744E0,9.199999571E-1,5.709999847E1,3.000000000E0,2.000000000E0
6.032111927E1,6.494425676E1,2.539268623E1,-1.514021908E0,1.199999928E0,6.190000153E1,2.500000000E0,2.000000000E0
6.128876423E1,6.494425873E1,2.539270291E1,-1.514019783E0,1.120000005E0,7.200000000E1,3.000000000E0,2.000000000E0
6.232382080E1,6.494426582E1,2.539272688E1,-1.514013101E0,9.199999571E-1,7.659999847E1,3.000000000E0,2.000000000E0
6.328641980E1,6.494427064E1,2.539273753E1,-1.514008704E0,7.799999714E-1,7.980000305E1,3.000000000E0,2.000000000E0
6.428100653E1,6.494427043E1,2.539274557E1,-1.514008669E0,7.299999595E-1,6.909999847E1,3.000000000E0,2.000000000E0
6.531507430E1,6.494427478E1,2.539277315E1,-5.140042156E-1,9.099999666E-1,7.440000153E1,2.500000000E0,2.000000000E0
6.628735811E1,6.494428476E1,2.539279260E1,-5.139951840E-1,1.209999919E0,7.240000153E1,2.500000000E0,2.000000000E0
6.732436811E1,6.494428773E1,2.539282219E1,-5.139918576E-1,1.189999938E0,7.909999847E1,3.000000000E0,3.000000000E0
6.832833007E1,6.494429142E1,2.539284867E1,-5.139880053E-1,9.899999499E-1,7.630000305E1,3.000000000E0,3.000000000E0
6.932470991E1,6.494429301E1,2.539287608E1,-5.139859173E-1,1.019999981E0,7.759999847E1,3.000000000E0,3.000000000E0
7.031997318E1,6.494429725E1,2.539289553E1,4.860182133E-1,1.049999952E0,7.900000000E1,2.500000000E0,3.000000000E0
7.131419830E1,6.494430182E1,2.539292872E1,4.860229955E-1,9.399999976E-1,8.100000000E1,2.500000000E0,3.000000000E0
7.232802045E1,6.494430517E1,2.539294490E1,4.860262880E-1,1.090000033E0,8.180000305E1,3.000000000E0,3.000000000E0
7.334102295E1,6.494430835E1,2.539296526E1,-5.139704511E-1,1.019999981E0,8.590000153E1,3.000000000E0,3.000000000E0
7.430889272E1,6.494431405E1,2.539298949E1,-5.139649408E-1,1.079999924E0,8.090000153E1,3.000000000E0,3.000000000E0
7.533361237E1,6.494431259E1,2.539301723E1,-5.139654555E-1,1.059999943E0,8.109999847E1,3.000000000E0,3.000000000E0
7.629777872E1,6.494431523E1,2.539304120E1,4.860374362E-1,1.179999948E0,8.250000000E1,2.500000000E0,3.000000000E0
7.732573610E1,6.494431711E1,2.539306493E1,4.860396772E-1,1.079999924E0,8.230000305E1,3.000000000E0,3.000000000E0
7.831525729E1,6.494431837E1,2.539308865E1,4.860413815E-1,1.069999933E0,8.840000153E1,3.000000000E0,3.000000000E0
7.931310875E1,6.494431774E1,2.539311371E1,4.860415111E-1,1.039999962E0,9.730000305E1,3.000000000E0,3.000000000E0
8.031300056E1,6.494432147E1,2.539312259E1,-5.139550677E-1,9.699999690E-1,8.990000153E1,3.000000000E0,3.000000000E0
8.130409706E1,6.494432311E1,2.539314992E1,4.860470546E-1,1.069999933E0,8.009999847E1,3.000000000E0,3.000000000E0
